D80100,Load Model,AE0100 D80100,Load Model
D81050,Load Model Motions,AE0100 AE0000 D81050,Load Model Motions
D81300,Set Position,AE0200 AE0300 AE0400 D81300,Set Position
D80000,Wait X frames,AE0500 D80000,Wait X frames
D87700,Stop Worker Motion,AEFFFF B53300 D87700,Stop Worker Motion
D8C500,Register Turn Motions,AD0000 AD0100 AD0200 AD0300 D8C500,Register Turn Motions
D81640,Set Tidus Move Speed,AE0100 AE6700 D81640,Set Tidus Move Speed
D86C00,Set NPC Speed,AF0100 D86C00,Set NPC Speed
D86100,Set Talk/Scout Range,AF0200 D86100,Set Talk/Scout Range
D88500,Set Touch Range,AF0000 D88500,Set Touch Range
D86200,Set Bounce Radius,AF0300 D86200,Set Bounce Radius
D80950,Set Weight,AEFFFF D80950,Set Weight
D83350,"Set Transparency(float,latch)",AF1700 AE1E00 D83350,"Set Transparency(float,latch)"
D81500,Set Destination,AF0900 AF0A00 AF0B00 D81500,Set Destination
D82800 ,Set Rotation Target (Destin'n),B51F00 D82800 ,Set Rotation Target (Destin'n)
D81900  ,Start Rotation,AE0000 AE02D0 AE0000 D81900  ,Start Rotation
D81800,Start Motion,AE0000 AE01C0 AE0000 D81800,Start Motion
D81A00 ,Wait For Motion,D81A00 ,Wait For Motion
D87800,Stop Worker Rotation,AEFFFF B53300 D87800,Stop Worker Rotation
D85D00,Enable Player Control,D85D00,Enable Player Control
D85E00,Disable Player Control,D85E00,Disable Player Control
B00100,Jump to j01,B00100,Jump to j01
D81750,Set Gravity Mode,AE0200 D81750,Set Gravity Mode
D81350,Set Field and Motion Type,AE0200 D81350,Set Field and Motion Type
D80140,Set Float to Height X (Swimming),AEF0FF D80140,Set Float to Height X (Swimming)
67,tmpI0,67,tmpI0
68,tmpI1,68,tmpI1
69,tmpI2,69,tmpI2
6A,tmpI3,6A,tmpI3
59,Set tmpI0,AE0100 59,Set tmpI0
5A,Set tmpI1,AE0100 5A,Set tmpI1
5B,Set tmpI2,AE0100 5B,Set tmpI2
5C,Set tmpI3,AE0100 5C,Set tmpI3
B5A600,Random Number,AE0800 B5A600,Get Random Number
14,Add,AE0100 AE0200 14,Add
15,Subtract,AE0100 AE0200 15,Subtract
16,Mulitply,AE0100 AE0200 16,Mulitply
17,Divide,AE0100 AE0200 17,Divide
B5A500,Horiz.Dist. Worker A -> B,AE0A00 AE0B00 B5A500,Horiz.Dist. Worker A -> B
B53300,Get Worker Indx.,AEFFFF B53300,Get Worker Indx.
D80650,Scale Model,AE0200 D80650,Scale Model
5D,Set tmpF0,AE0100 5D,Set tmpF0
5E,Set tmpF1,AE0100 5E,Set tmpF1
5F,Set tmpF2,AE0100 5F,Set tmpF2
60,Set tmpF3,AE0100 60,Set tmpF3
6B ,tmpF0,6B ,tmpF0
6C,tmpF1,6C,tmpF1
6D,tmpF2,6D,tmpF2
6E,tmpF3,6E,tmpF3
D81640,Set Player Speed,AE0200 AF0900 D81640,Set Player Speed
D82150,Set Motion Slowness,AF3500 D82150,Set Motion Slowness
B53800,Worker X Pos.,AEFFFF B53800,Worker X Pos.
B53900,Worker Y Pos.,AEFFFF B53900,Worker Y Pos.
B53A00,WorkerZ Pos.,AEFFFF B53A00,WorkerZ Pos.
D81750,Set Gravity Mode,AE0000 D81750,Set Gravity Mode
B50210,Math.Cos,AF0100 B50210,Math.Cos
B50110,Math.Sin,AF0100 B50110,Math.Sin
